Date,Score
2011-05-02,0.061278783
2011-05-03,0.770102322
2011-05-04,0.547109723
2011-05-05,#N/A
2011-05-06,0.913201749
2011-05-09,-0.623051524
2011-05-10,-0.11885646
2011-05-11,-0.146133929
2011-05-12,#N/A
2011-05-13,#N/A
2011-05-16,-0.740458369
2011-05-17,-0.038063049
2011-05-18,-0.968766809
2011-05-19,-0.044336945
2011-05-20,0.032246929
2011-05-23,-0.908499897
2011-05-24,-0.956031382
2011-05-25,-0.971964002
2011-05-26,-0.887095988
2011-05-27,0.543649912
2011-05-31,-0.878328264
2011-06-01,0.087900445
2011-06-02,-0.922550857
2011-06-03,-0.964699209
2011-06-06,-0.003833786
2011-06-07,0.330595076
2011-06-08,0.024699684
2011-06-09,0.035304487
2011-06-10,#N/A
2011-06-13,-0.718567014
2011-06-14,0.82849592
2011-06-15,0.924495518
2011-06-16,-0.035427064
2011-06-17,0.088643976
2011-06-20,-0.593219042
2011-06-21,0.644604206
2011-06-22,-0.898300052
2011-06-23,-0.859315038
2011-06-24,0.193277389
2011-06-27,0.611930728
2011-06-28,0.294927865
2011-06-29,-0.685043633
2011-06-30,0.069533214
2011-07-01,0.895169377
2011-07-05,0.039262984
2011-07-06,0.054214943
2011-07-07,0.866378665
2011-07-08,-0.925242186
2011-07-11,-0.689702094
2011-07-12,-0.964574873
2011-07-13,-0.52685982
2011-07-14,0.130059749
2011-07-15,0.872977316
2011-07-18,0.173884124
2011-07-19,0.003378505
2011-07-20,0.901755095
2011-07-21,0.609680295
2011-07-22,-0.562503755
2011-07-25,0.844365656
2011-07-26,-0.14289856
2011-07-27,0.439822853
2011-07-28,0.371375173
2011-07-29,0.437215358
2011-08-01,0.57751739
2011-08-02,-0.918192804
2011-08-03,-0.015488574
2011-08-04,0.087729052
2011-08-05,-0.036581308
2011-08-08,0.897915483
2011-08-09,-0.131015152
2011-08-10,0.630430281
2011-08-11,-0.934823751
2011-08-12,0.074590035
2011-08-15,0.013568789
2011-08-16,-0.043981258
2011-08-17,0.880491793
2011-08-18,-0.255397081
2011-08-19,0.00884692
2011-08-22,0.011815291
2011-08-23,0.902818024
2011-08-24,-0.250659645
2011-08-25,0.158343673
2011-08-26,-0.069042891
2011-08-29,-0.286094338
2011-08-30,0.048374895
2011-08-31,0.03052632
2011-09-01,0.913464606
2011-09-02,-0.198229432
2011-09-06,0.296919882
2011-09-07,-0.93167758
2011-09-08,0.291469842
2011-09-09,-0.02362618
2011-09-12,0.242812186
2011-09-13,0.908387005
2011-09-14,-0.111392342
2011-09-15,-0.956947625
2011-09-16,0.029344371
2011-09-19,0.145865545
2011-09-20,-0.251947939
2011-09-21,0.094744533
2011-09-22,0.050349787
2011-09-23,0.064126343
2011-09-26,-0.000380782
2011-09-27,-0.826213717
2011-09-28,0.00283201
2011-09-29,-0.022938393
2011-09-30,0.070483446
2011-10-03,0.082766734
2011-10-04,0.744437456
2011-10-05,-0.087888435
2011-10-06,-0.839226663
2011-10-07,-0.370512277
2011-10-10,0.338498503
2011-10-11,0.82311815
2011-10-12,-0.3264063
2011-10-13,0.668120623
2011-10-14,-0.576022565
2011-10-17,0.210609287
2011-10-18,-0.347171903
2011-10-19,-0.922293603
2011-10-20,-0.960357726
2011-10-21,0.02920468
2011-10-24,-0.107365191
2011-10-25,0.081819527
2011-10-26,0.506833553
2011-10-27,0.706231177
2011-10-28,-0.127514303
2011-10-31,0.063697495
2011-11-01,0.02457625
2011-11-02,0.085117459
2011-11-03,0.892485023
2011-11-04,-0.422347546
2011-11-07,0.143318579
2011-11-08,-0.885470748
2011-11-09,0.501007915
2011-11-10,-0.249549061
2011-11-11,-0.828100085
2011-11-14,0.400597423
2011-11-15,0.077083215
2011-11-16,-0.960000157
2011-11-17,0.57461518
2011-11-18,-0.087707147
2011-11-21,-0.954430461
2011-11-22,0.186494455
2011-11-23,0.011949312
2011-11-25,-0.874371052
2011-11-28,-0.806282222
2011-11-29,0.125929713
2011-11-30,0.621884704
2011-12-01,-0.053365476
2011-12-02,0.002046689
2011-12-05,0.044592034
2011-12-06,0.559588432
2011-12-07,-0.96229744
2011-12-08,0.1465251
2011-12-09,0.071111053
2011-12-12,-0.134228617
2011-12-13,0.09212739
2011-12-14,0.029315962
2011-12-15,0.194853961
2011-12-16,0.779063344
2011-12-19,-0.040186107
2011-12-20,0.770468771
2011-12-21,0.771895289
2011-12-22,0.709219217
2011-12-23,0.884769678
2011-12-27,0.02782343
2011-12-28,0.116726026
2011-12-29,-0.009253129
2011-12-30,0.826467991
2012-01-03,0.120659478
2012-01-04,-0.942072034
2012-01-05,-0.872397184
2012-01-06,0.940437734
2012-01-09,-0.071529083
2012-01-10,-0.718155146
2012-01-11,0.831183314
2012-01-12,0.928507209
2012-01-13,0.13578923
2012-01-17,-0.937319696
2012-01-18,0.702509761
2012-01-19,-0.935694516
2012-01-20,0.107878581
2012-01-23,0.506679714
2012-01-24,0.044735689
2012-01-25,-0.76013124
2012-01-26,0.388346374
2012-01-27,-0.593403101
2012-01-30,-0.865343869
2012-01-31,0.627712905
2012-02-01,0.845483005
2012-02-02,0.193555862
2012-02-03,0.242925078
2012-02-06,0.042604446
2012-02-07,-0.972803175
2012-02-08,0.172499076
2012-02-09,0.357158959
2012-02-10,0.112457551
2012-02-13,0.310300529
2012-02-14,0.900631964
2012-02-15,0.049900327
2012-02-16,0.889233232
2012-02-17,-0.853475511
2012-02-21,0.243710697
2012-02-22,0.772119939
2012-02-23,0.285384327
2012-02-24,0.235575959
2012-02-27,0.004257225
2012-02-28,0.887739837
2012-02-29,0.163810253
2012-03-01,-0.672681272
2012-03-02,0.821661294
2012-03-05,0.047764521
2012-03-06,0.872613192
2012-03-07,-0.691897213
2012-03-08,0.717150867
2012-03-09,-0.817513645
2012-03-12,0.019268896
2012-03-13,0.763118923
2012-03-14,-0.913029313
2012-03-15,0.765735745
2012-03-16,0.061575778
2012-03-19,-0.002178688
2012-03-20,0.058146078
2012-03-21,0.098072425
2012-03-22,0.935787797
2012-03-23,0.106924854
2012-03-26,0.747821212
2012-03-27,0.926747143
2012-03-28,0.095605537
2012-03-29,-0.90165782
2012-03-30,-0.922757685
2012-04-02,-0.216305822
2012-04-03,-8.2e-05
2012-04-04,0.030239992
2012-04-05,-0.099698156
2012-04-09,0.49540633
2012-04-10,-0.957749546
2012-04-11,0.190126583
2012-04-12,0.093637027
2012-04-13,0.045016151
2012-04-16,0.132065445
2012-04-17,0.262094289
2012-04-18,-0.144123644
2012-04-19,0.199592128
2012-04-20,-0.51858449
2012-04-23,-0.902960062
2012-04-24,0.361692786
2012-04-25,0.043860544
2012-04-26,-0.132377505
2012-04-27,0.029856261
2012-04-30,-0.66065073
2012-05-01,0.850453556
2012-05-02,0.860533178
2012-05-03,-0.339819729
2012-05-04,0.503218174
2012-05-07,-0.718108594
2012-05-08,0.650463641
2012-05-09,0.129227191
2012-05-10,#N/A
2012-05-11,-0.81174314
2012-05-14,0.402805269
2012-05-15,0.604137003
2012-05-16,0.060098369
2012-05-17,0.069232285
2012-05-18,0.056817211
2012-05-21,0.379735619
2012-05-22,0.588363886
2012-05-23,-0.581384897
2012-05-24,-0.769575357
2012-05-25,0.184648514
2012-05-29,0.018626507
2012-05-30,-0.004456528
2012-05-31,-0.970363438
2012-06-01,0.8968907
2012-06-04,0.065199271
2012-06-05,-0.811891496
2012-06-06,-0.799660087
2012-06-07,0.093722619
2012-06-08,-0.074250191
2012-06-11,0.826459348
2012-06-12,0.099356979
2012-06-13,-0.930521309
2012-06-14,0.906466722
2012-06-15,0.004035994
2012-06-18,0.74812299
2012-06-19,-0.962064803
2012-06-20,-0.939324379
2012-06-21,0.090528712
2012-06-22,0.052939244
2012-06-25,0.087695904
2012-06-26,0.098314665
2012-06-27,0.553009331
2012-06-28,-0.268159032
2012-06-29,-0.096112967
2012-07-02,-0.77936697
2012-07-03,-0.934694827
2012-07-05,0.616421044
2012-07-06,-0.913644016
2012-07-09,-0.96650219
2012-07-10,0.020798866
2012-07-11,0.148556054
2012-07-12,-0.964553714
2012-07-13,-0.891400218
2012-07-16,-0.938795269
2012-07-17,-0.798402131
2012-07-18,0.894940853
2012-07-19,-0.836076498
2012-07-20,-0.06429252
2012-07-23,0.382526815
2012-07-24,-0.028446633
2012-07-25,0.907453895
2012-07-26,-0.93232137
2012-07-27,0.118018292
2012-07-30,0.218411669
2012-07-31,0.871943116
2012-08-01,0.84668225
2012-08-02,#N/A
2012-08-03,-0.962437749
2012-08-06,0.055950064
2012-08-07,-0.693770349
2012-08-08,0.040334906
2012-08-09,0.052122056
2012-08-10,-0.001155734
2012-08-13,0.191227674
2012-08-14,0.241124794
2012-08-15,-0.702813387
2012-08-16,0.054446146
2012-08-17,-0.889460683
2012-08-20,0.37377581
2012-08-21,0.035341918
2012-08-22,0.818395793
2012-08-23,-0.009600915
2012-08-24,0.319891691
2012-08-27,0.774352491
2012-08-28,0.064812079
2012-08-29,-0.591748178
2012-08-30,0.041165087
2012-08-31,0.063714214
2012-09-04,0.000294633
2012-09-05,0.792671859
2012-09-06,0.028729368
2012-09-07,0.309549004
2012-09-10,0.061130404
2012-09-11,0.075369671
2012-09-12,0.000961743
2012-09-13,-0.941524506
2012-09-14,-0.528190494
2012-09-17,0.070928983
2012-09-18,0.922706425
2012-09-19,-0.905092835
2012-09-20,0.126005217
2012-09-21,-0.919601381
2012-09-24,-0.10255082
2012-09-25,0.044506878
2012-09-26,-0.172664329
2012-09-27,0.178795248
2012-09-28,-0.89171052
2012-10-01,-0.06625437
2012-10-02,-0.81174624
2012-10-03,-0.022338504
2012-10-04,-0.063824832
2012-10-05,-0.621913314
2012-10-08,0.459467351
2012-10-09,0.281369269
2012-10-10,0.934166312
2012-10-11,-0.562701404
2012-10-12,0.078999892
2012-10-15,0.090748705
2012-10-16,0.632470131
2012-10-17,0.076412618
2012-10-18,0.287383318
2012-10-19,-0.899261832
2012-10-22,0.286100656
2012-10-23,0.902526557
2012-10-24,-0.954564869
2012-10-25,0.762687802
2012-10-26,0.915039241
2012-10-31,0.866541207
2012-11-01,0.151285484
2012-11-02,-0.100166388
2012-11-05,0.232295528
2012-11-06,0.313708544
2012-11-07,-0.961278081
2012-11-08,-0.425179005
2012-11-09,-0.196525037
2012-11-12,-0.966509998
2012-11-13,0.058360431
2012-11-14,0.639528632
2012-11-15,0.258263558
2012-11-16,0.449165672
2012-11-19,0.027612843
2012-11-20,0.006759094
2012-11-21,0.041463986
2012-11-23,-0.717095912
2012-11-26,-0.967862666
2012-11-27,0.039338872
2012-11-28,0.072920486
2012-11-29,0.031001007
2012-11-30,0.72494632
2012-12-03,0.043031704
2012-12-04,0.918385148
2012-12-05,0.857435048
2012-12-06,0.830048144
2012-12-07,-0.759350419
2012-12-10,0.8954162
2012-12-11,0.89443779
2012-12-12,0.024924463
2012-12-13,-0.760757089
2012-12-14,-0.114234716
2012-12-17,0.458579034
2012-12-18,-0.327082783
2012-12-19,0.032055065
2012-12-20,0.348820657
2012-12-21,-0.907782376
2012-12-24,0.040718131
2012-12-26,0.349009067
2012-12-27,-0.95981276
2012-12-28,0.01555115
2012-12-31,-0.245045483
2013-01-02,0.022752035
2013-01-03,-0.040046617
2013-01-04,-0.971844971
2013-01-07,-0.570198774
2013-01-08,0.178292513
2013-01-09,-0.413573116
2013-01-10,0.87694037
2013-01-11,0.049116373
2013-01-14,0.833110869
2013-01-15,-0.813535213
2013-01-16,0.018790325
2013-01-17,#N/A
2013-01-18,0.056692675
2013-01-22,0.060224619
2013-01-23,-0.934496224
2013-01-24,0.015039634
2013-01-25,-0.023958264
2013-01-28,#N/A
2013-01-29,0.108385392
2013-01-30,0.908985436
2013-01-31,0.807688653
2013-02-01,0.046802849
2013-02-04,-0.963624716
2013-02-05,-0.37707907
2013-02-06,0.082119815
2013-02-07,0.046004683
2013-02-08,-0.667673051
2013-02-11,0.920639694
2013-02-12,-0.890566289
2013-02-13,-0.010046134
2013-02-14,-0.354112834
2013-02-15,0.49246332
2013-02-19,-0.559144258
2013-02-20,0.318166822
2013-02-21,0.734460115
2013-02-22,-0.782375216
2013-02-25,0.796840608
2013-02-26,0.934008598
2013-02-27,0.05118699
2013-02-28,0.508898318
2013-03-01,-0.904615104
2013-03-04,-0.972060084
2013-03-05,-0.919734061
2013-03-06,-0.933896363
2013-03-07,-0.954505265
2013-03-08,-0.00047645
2013-03-11,0.910649002
2013-03-12,-0.94062686
2013-03-13,-0.525683165
2013-03-14,0.819384456
2013-03-15,0.206249535
2013-03-18,0.077268027
2013-03-19,0.320873022
2013-03-20,0.751739323
2013-03-21,0.648778617
2013-03-22,0.519413352
2013-03-25,0.611143649
2013-03-26,0.183006749
2013-03-27,-0.654071987
2013-03-28,0.032139391
2013-04-01,0.834427834
2013-04-02,0.249862552
2013-04-03,-0.958527088
2013-04-04,0.002917156
2013-04-05,0.741219938
2013-04-08,-0.496654242
2013-04-09,0.357885957
2013-04-10,-0.974195242
2013-04-11,-0.206621438
2013-04-12,0.278134704
2013-04-15,0.012810061
2013-04-16,-0.942491651
2013-04-17,0.922299981
2013-04-18,-0.841405392
2013-04-19,#N/A
2013-04-22,0.038996205
2013-04-23,0.271961093
2013-04-24,0.281736493
2013-04-25,0.937807024
2013-04-26,0.833070576
2013-04-29,-0.817352235
2013-04-30,0.734019637
2013-05-01,0.336439997
2013-05-02,#N/A
2013-05-03,0.630056977
2013-05-06,0.021836527
2013-05-07,0.934879005
2013-05-08,0.657585204
2013-05-09,#N/A
2013-05-10,0.074829094
2013-05-13,0.028601127
2013-05-14,-0.957064807
2013-05-15,0.671471834
